mineral,date,data_transformation,obs_value
Cobalt,2018-03,INDEX,344.0821453588671
Cobalt,2018-04,INDEX,356.5219576044457
Cobalt,2018-05,INDEX,354.4307181868887
Cobalt,2018-06,INDEX,318.8427136117852
Cobalt,2018-07,INDEX,277.4484733024285
Cobalt,2018-08,INDEX,248.6014187349935
Cobalt,2018-09,INDEX,244.3130212563962
Cobalt,2018-10,INDEX,238.0941174665969
Cobalt,2018-11,INDEX,215.8509850191155
Cobalt,2018-12,INDEX,217.0300359214073
Cobalt,2019-01,INDEX,159.8553050296443
Cobalt,2019-02,INDEX,126.0634465794917
Cobalt,2019-03,INDEX,123.0525854462328
Cobalt,2019-04,INDEX,131.561540822834
Cobalt,2019-05,INDEX,134.1796809387113
Cobalt,2019-06,INDEX,113.1389978974634
Cobalt,2019-07,INDEX,107.371206764141
Cobalt,2019-08,INDEX,118.3526499182165
Cobalt,2019-09,INDEX,140.2816304987799
Cobalt,2019-10,INDEX,138.4855538558084
Cobalt,2019-11,INDEX,139.455887807233
Cobalt,2019-12,INDEX,131.7479360357088
Cobalt,2020-01,INDEX,126.5073105839096
Cobalt,2020-02,INDEX,131.7267781908973
Cobalt,2020-03,INDEX,122.2110319085316
Cobalt,2020-04,INDEX,116.1079687888683
Cobalt,2020-05,INDEX,116.0985124801603
Cobalt,2020-06,INDEX,114.1810474151748
Cobalt,2020-07,INDEX,111.9923379008434
Cobalt,2020-08,INDEX,129.263655346131
Cobalt,2020-09,INDEX,131.4912526862004
Cobalt,2020-10,INDEX,130.4928487542844
Cobalt,2020-11,INDEX,126.6088612686314
Cobalt,2020-12,INDEX,125.2084368216495
Cobalt,2021-01,INDEX,148.777546602554
Cobalt,2021-02,INDEX,186.6070858636165
Cobalt,2021-03,INDEX,205.8434406485494
Cobalt,2021-04,INDEX,192.5145917675791
Cobalt,2021-05,INDEX,173.6410087537458
Cobalt,2021-06,INDEX,173.3838300402268
Cobalt,2021-07,INDEX,202.8365675221962
Cobalt,2021-08,INDEX,202.8030969809421
Cobalt,2021-09,INDEX,203.4212755642114
Cobalt,2021-10,INDEX,215.1297681715131
Cobalt,2021-11,INDEX,237.2525846256555
Cobalt,2021-12,INDEX,272.3409919636472
Cobalt,2022-01,INDEX,276.9745482892256
Cobalt,2022-02,INDEX,281.0845700966326
Cobalt,2022-03,INDEX,315.9732564373934
